cuisine,zipcode,count
Chinese,10075,54
Chinese,11101,127
Chinese,11102,62
Chinese,11103,76
Chinese,11104,92
Chinese,11105,123
Chinese,11106,230
Chinese,11109,23
Chinese,10128,182
Chinese,11691,154
Chinese,11692,11
Chinese,11693,51
Chinese,11694,104
Chinese,10169,6
Chinese,11201,264
Chinese,11203,220
Chinese,11204,521
Chinese,11205,157
Chinese,11206,178
Chinese,11207,378
Chinese,11208,314
Chinese,11209,287
Chinese,11210,227
Chinese,11211,243
Chinese,11212,324
Chinese,11213,382
Chinese,11214,1121
Chinese,11215,316
Chinese,11216,218
Chinese,11217,148
Chinese,11218,190
Chinese,11219,496
Chinese,11220,2505
Chinese,11221,261
Chinese,11222,168
Chinese,11223,324
Chinese,11224,104
Chinese,11225,176
Chinese,11226,459
Chinese,11228,113
Chinese,11229,345
Chinese,11230,120
Chinese,11231,97
Chinese,11232,238
Chinese,11233,209
Chinese,11234,313
Chinese,11235,189
Chinese,11236,391
Chinese,11237,177
Chinese,11238,185
Chinese,11239,15
Chinese,11249,70
Pizza,10301,102
Pizza,10302,97
Pizza,10303,7
Pizza,10304,55
Pizza,10305,50
Pizza,10306,31
Pizza,10307,34
Pizza,10308,53
Pizza,10309,10
Pizza,10310,10
Pizza,10312,117
Pizza,10314,239
Pizza,11354,39
Pizza,11355,103
Pizza,11356,35
Pizza,11357,70
Pizza,11358,52
Pizza,11361,130
Pizza,11362,20
Pizza,11364,17
Pizza,11365,35
Pizza,11366,33
Pizza,11367,45
Pizza,11368,194
Pizza,11369,37
Pizza,11370,27
Pizza,11372,202
Pizza,11373,84
Pizza,11374,85
Pizza,11375,156
Pizza,11377,121
Pizza,11378,113
Pizza,11379,31
Pizza,11385,325
Pizza,11412,61
Pizza,11413,30
Pizza,11414,33
Pizza,11415,21
Pizza,11416,93
Pizza,11417,44
Pizza,11418,97
Pizza,11419,27
Pizza,11420,116
Pizza,11421,55
Pizza,11422,39
Pizza,11423,17
Pizza,11426,62
Pizza,11427,22
Pizza,11428,42
Pizza,11429,10
Pizza,11430,66
Pizza,11432,180
Pizza,11433,18
Pizza,11434,107
Pizza,11435,63
Pizza,11436,18
Pizza,11040,21
Pizza,10451,167
Pizza,10452,93
Pizza,10453,106
Pizza,10454,63
Pizza,10455,173
Pizza,10456,51
Pizza,10457,62
Pizza,10458,297
Pizza,10459,149
Pizza,10460,112
Pizza,10461,77
Pizza,10462,192
Pizza,10463,97
Pizza,10465,130
Pizza,10466,76
Pizza,10467,223
Pizza,10468,73
Pizza,10469,219
Pizza,10470,102
Pizza,10471,36
Pizza,10472,146
Pizza,10473,35
Pizza,10474,28
Pizza,10475,29
Pizza,11004,33
Pizza,10001,201
Pizza,10002,343
Pizza,10003,293
Pizza,10004,75
Pizza,10005,37
Pizza,10006,27
Pizza,10007,108
Pizza,10009,210
Pizza,10010,180
Pizza,10011,266
Pizza,10012,147
Pizza,10013,96
Pizza,10014,180
Pizza,10016,201
Pizza,10017,110
Pizza,10018,143
Pizza,10019,285
Pizza,10021,51
Pizza,10022,167
Pizza,10023,132
Pizza,10024,66
Pizza,10025,176
Pizza,10026,21
Pizza,10027,96
Pizza,10028,116
Pizza,10029,255
Pizza,10030,39
Pizza,10031,104
Pizza,10032,113
Pizza,10033,150
Pizza,10034,69
Pizza,10035,100
Pizza,10036,212
Pizza,10038,70
Pizza,10039,14
Pizza,10040,75
Pizza,10065,94
Pizza,10075,69
Pizza,11101,120
Pizza,11102,153
Pizza,11103,179
Pizza,11104,69
Pizza,11105,117
Pizza,11106,119
Pizza,10119,14
Pizza,10121,13
Pizza,10128,117
Pizza,11691,120
Pizza,11692,15
Pizza,11693,15
Pizza,11694,65
Pizza,10169,5
Pizza,10175,8
Pizza,11201,263
Pizza,11203,42
Pizza,11204,109
Pizza,11205,66
Pizza,11206,112
Pizza,11207,148
Pizza,11208,147
Pizza,11209,301
Pizza,11210,17
Pizza,11211,253
Pizza,11212,126
Pizza,11213,55
Pizza,11214,118
Pizza,11215,179
Pizza,11216,139
Pizza,11217,145
Pizza,11218,207
Pizza,11219,50
Pizza,11220,149
Pizza,11221,122
Pizza,11222,126
Pizza,11223,125
Pizza,11224,90
Pizza,11225,196
Pizza,11226,139
Pizza,11228,77
Pizza,11229,192
Pizza,11230,113
Pizza,11231,69
Pizza,11232,83
Pizza,11233,43
Pizza,11234,97
Pizza,11235,75
Pizza,11236,162
Pizza,11237,134
Pizza,11238,121
Pizza,11239,36
Pizza,11249,24
Latin,10301,68
Latin,10302,6
Latin,10303,77
Latin,10304,10
Latin,10305,9
Latin,10310,16
Latin,10314,11
Latin,11354,23
Latin,11355,119
Latin,11356,49
Latin,11358,37
Latin,11361,40
Latin,11365,15
Latin,11367,26
Latin,11368,1235
Latin,11369,130
Latin,11372,1451
Latin,11373,332
Latin,11374,66
Latin,11375,63
Latin,11377,567
Latin,11378,14
Latin,11385,346
Latin,11418,176
Latin,11420,27
Latin,11421,220
Latin,11423,61
Latin,11427,24
Latin,11428,78
Latin,11432,159
Latin,11433,20
Latin,11435,227
Latin,10451,53
Latin,10452,371
Latin,10453,285
Latin,10454,155
Latin,10455,250
Latin,10456,195
Latin,10457,242
Latin,10458,268
Latin,10459,185
Latin,10460,140
Latin,10461,99
Latin,10462,155
Latin,10463,106
Latin,10465,28
Latin,10466,55
Latin,10467,138
Latin,10468,298
Latin,10469,7
Latin,10470,4
Latin,10471,24
Latin,10472,280
Latin,10473,22
Latin,10474,94
Latin,10001,67
Latin,10002,111
Latin,10003,52
Latin,10004,59
Latin,10009,219
Latin,10010,41
Latin,10011,82
Latin,10012,123
Latin,10013,54
Latin,10014,90
Latin,10016,49
Latin,10017,40
Latin,10018,132
Latin,10019,142
Latin,10021,27
Latin,10022,26
Latin,10023,17
Latin,10024,89
Latin,10025,168
Latin,10026,3
Latin,10027,30
Latin,10028,9
Latin,10029,201
Latin,10030,56
Latin,10031,144
Latin,10032,458
Latin,10033,286
Latin,10034,480
Latin,10035,57
Latin,10036,186
Latin,10038,26
Latin,10040,238
Latin,10065,66
Latin,11101,207
Latin,11103,179
Latin,11104,152
Latin,11105,32
Latin,11106,177
Latin,11109,46
Latin,11691,114
Latin,11693,31
Latin,11694,17
Latin,11201,70
Latin,11204,33
Latin,11205,158
Latin,11206,240
Latin,11207,407
Latin,11208,242
Latin,11209,17
Latin,11210,34
Latin,11211,287
Latin,11212,68
Latin,11213,12
Latin,11214,59
Latin,11215,128
Latin,11216,27
Latin,11217,109
Latin,11218,10
Latin,11219,74
Latin,11220,367
Latin,11221,196
Latin,11222,16
Latin,11223,42
Latin,11224,26
Latin,11225,38
Latin,11226,114
Latin,11230,32
Latin,11231,93
Latin,11232,165
Latin,11233,56
Latin,11236,4
Latin,11237,317
Latin,11238,20
Italian,10281,16
Italian,10282,36
Italian,10301,104
Italian,10303,18
Italian,10305,238
Italian,10306,129
Italian,10307,79
Italian,10308,182
Italian,10309,85
Italian,10310,86
Italian,10312,216
Italian,10314,203
Italian,11354,22
Italian,11356,18
Italian,11357,163
Italian,11358,38
Italian,11360,58
Italian,11361,34
Italian,11362,87
Italian,11363,42
Italian,11364,68
Italian,11365,26
Italian,11366,13
Italian,11368,45
Italian,11369,22
Italian,11370,32
Italian,11372,19
Italian,11373,24
Italian,11374,16
Italian,11375,158
Italian,11377,45
Italian,11378,8
Italian,11379,79
Italian,11385,63
Italian,11414,80
Italian,11417,11
Italian,11418,33
Italian,11419,29
Italian,11420,30
Italian,11426,23
Italian,11427,24
Italian,11430,53
Italian,11435,14
Italian,10016,466
Italian,10451,33
Italian,10455,2
Italian,10458,392
Italian,10461,199
Italian,10462,52
Italian,10463,30
Italian,10464,47
Italian,10465,13
Italian,10469,12
Italian,10470,38
Italian,10471,20
Italian,10475,29
Italian,10001,113
Italian,10002,155
Italian,10003,611
Italian,10004,103
Italian,10005,25
Italian,10007,66
Italian,10009,158
Italian,10010,162
Italian,10011,541
Italian,10012,652
Italian,10013,1163
Italian,10014,539
Italian,11040,30
Italian,10017,244
Italian,10018,179
Italian,10019,689
Italian,10021,315
Italian,10022,526
Italian,10023,275
Italian,10024,256
Italian,10025,191
Italian,10026,39
Italian,10027,120
Italian,10028,251
Italian,10029,51
Italian,10031,123
Italian,10032,4
Italian,10033,31
Italian,10034,69
Italian,10035,36
Italian,10036,624
Italian,10038,131
Italian,10065,242
Italian,10075,206
Italian,11101,150
Italian,11102,26
Italian,11103,77
Italian,11104,69
Italian,11105,99
