camis,dba,boro,zipcode,cuisine,grade
50053142,GOLDIE'S,BROOKLYN,11222,American,A
50001460,CAFE B'WAY 46,MANHATTAN,10036,American,A
50053141,THE POKESPOT,MANHATTAN,10003,Asian,A
50001466,LARB UBOL,MANHATTAN,10018,Thai,A
40786301,EL RANCHITO DE DAISY,QUEENS,11355,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
50053144,XIN,BROOKLYN,11209,Chinese,
41156745,ROEBLING SPORTING CLUB,BROOKLYN,11211,American,A
50053148,EL JEFFE,BROOKLYN,11216,Mexican,A
50053149,KING TUT PIE,BROOKLYN,11209,Middle Eastern,A
50005370,NEW HO WAH CHINESE FOOD,QUEENS,11423,Chinese,A
50005377,ACE BAGEL & ROLL,QUEENS,11355,Delicatessen,A
41698490,AMBASSADOR FOOD SERVICES,QUEENS,11101,American,A
41232726,BG BAR/MEHANATA,MANHATTAN,10002,Eastern European,
50005379,PARISH,BROOKLYN,11215,American,
40552366,GIGI'S PIZZERIA,QUEENS,11357,Pizza,
50038483,SUBWAY,QUEENS,11373,Sandwiches,A
50001468,BLUE RIBBON FRIED CHICKEN,MANHATTAN,10003,American,A
40534177,LA CUCINA,BROOKLYN,11214,Italian,A
41119269,ROYAL INDIA PALACE AND RESTAURANT,QUEENS,11419,Indian,
40400638,CAFE PARIS,BROOKLYN,11235,Russian,A
40729264,PLAYWRIGHT TAVERN,MANHATTAN,10001,Irish,
50044744,AMERIGO,QUEENS,11101,American,
50044748,SIBLINGS,MANHATTAN,10018,Chicken,A
50044749,DUNKIN DONUTS,MANHATTAN,10007,Donuts,A
50051778,PRONTITO,QUEENS,11373,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
50045291,BROOKLYN PIZZERIA,BROOKLYN,11213,Pizza,
50045290,MSHOBLIURI/WE ARE GEORGIANS,BROOKLYN,11223,Eastern European,
50045292,SPEEDY ROMEO,MANHATTAN,10002,Pizza/Italian,
50051777,ROBERTA'S CHICKEN-N-FISH FRY,BROOKLYN,11213,Caribbean,
41163361,ANGIE'S CAFE PIZZA,BRONX,10451,Pizza,
50045296,ORGANIC FOOD NATURAL JUICES ND COFFEE,QUEENS,11372,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
41690369,EXTREME BLENDZ (CRUNCH),MANHATTAN,10019,"Juice, Smoothies, Fruit Salads",A
50042740,TANDIR EXPRESS,BROOKLYN,11218,Russian,A
50042747,LANZHOU BEEF NOODLE,QUEENS,11354,Chinese,
50042744,AZTEC SOUL,BROOKLYN,11208,Mexican,A
40529040,MINITALIA PIZZERIA,QUEENS,11385,Pizza/Italian,A
50006110,ARCO CAFE,MANHATTAN,10025,Italian,C
50006115,ZOILITA RESTAURANT,QUEENS,11366,Spanish,A
50069106,THAI @ LEX,MANHATTAN,10028,Thai,A
50056923,LA ESPIGA RESTAURANT AND BAKERY,QUEENS,11368,Spanish,A
50056922,PUNJABI VIRSA RESTAURANT,QUEENS,11419,Indian,
50056921,CROWN FRIED CHICKEN,BROOKLYN,11225,Chicken,
50056929,THE DOUGLASS,BROOKLYN,11217,American,
50050711,BARNACHO,MANHATTAN,10017,Mexican,
50066928,JIA NYC,MANHATTAN,10002,American,
50066929,TERRA,BROOKLYN,11235,American,A
50054690,New York Chan Chinese Restaurant,BROOKLYN,11207,Chinese,
50066921,HAN DYNASTY,BROOKLYN,11201,Chinese,
50066922,LOLY PIZZA RESTAURANT,BRONX,10452,Spanish,A
50066926,ALLEY 41,QUEENS,11355,Chinese,
50066927,PLG COFFEE HOUSE AND TAVERN,BROOKLYN,11225,Caf̩/Coffee/Tea,A
41286180,HUNTER DELI,MANHATTAN,10021,Delicatessen,
41576098,JR PRIMOS RESTAURANT,BRONX,10467,Spanish,
41624508,NABLUS SWEETS,BROOKLYN,11220,Middle Eastern,
50056690,ARIA KABAB,QUEENS,11103,Afghan,
50056693,THE MUSTARD SEED,STATEN ISLAND,10310,Other,A
40949905,KA WAH BAKERY,MANHATTAN,10002,Bakery,B
50056694,CITITHAI,MANHATTAN,10128,Thai,
50055044,TONY'S FAMOUS PIZZA,QUEENS,11418,Pizza,A
40873138,WIMPY'S RESTAURANT,MANHATTAN,10031,American,A
40395093,COYOTE UGLY,MANHATTAN,10003,American,A
50055040,GREGORY'S COFFEE,MANHATTAN,10022,Cafe/Coffee/Tea,A
41712970,EL PATIO,QUEENS,11432,Spanish,
40736836,SILVER STAR RESTAURANT,MANHATTAN,10065,American,
41445602,FLOR DE MAYO,MANHATTAN,10024,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
41417417,EL PALO RESTAURANT,QUEENS,11423,Mexican,
40397780,VIRGIL'S BBQ,MANHATTAN,10036,Barbecue,A
41309951,CABANA,MANHATTAN,10065,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
41515513,PARK AVENUE WINTER,MANHATTAN,10010,American,A
50046247,BAR OMAR,BROOKLYN,11211,French,
40978834,68 JAY STREET BAR,BROOKLYN,11201,American,
50046244,THE NEST FINE DESSERT,QUEENS,11385,Bakery,
41709587,MARIETTA,BROOKLYN,11238,American,A
40404024,THE PENN CLUB,MANHATTAN,10036,American,A
50032939,HYATT PLACE NEW YORK MIDTOWN SOUTH,MANHATTAN,10018,Continental,
40365361,THE PRINCETON CLUB,MANHATTAN,10036,American,
50047590,STUDIO TEN,BROOKLYN,11216,Caribbean,A
50047599,LIANG FAN DIAN,MANHATTAN,10002,Chinese,B
41691978,TASTE OF KERALA KITCHEN,QUEENS,11004,Indian,A
41541403,SAPPORO SUSHI RESTAURANT,STATEN ISLAND,10314,Japanese,A
40385575,VA BENE,MANHATTAN,10028,Jewish/Kosher,
41173778,GREAT JONES JUICE BAR,MANHATTAN,10012,"Juice, Smoothies, Fruit Salads",
50055276,DRAGON NOODLE AND GRILL,MANHATTAN,10013,Chinese,
50055277,LAOCHENGYIGUO,QUEENS,11354,Chinese,A
40873798,ALBA PIZZA,QUEENS,11435,Pizza,A
40880188,HEIDELBERG RESTAURANT,MANHATTAN,10028,German,
41576328,BO BO KITCHEN CHINESE RESTAURANT,BROOKLYN,11226,Chinese,A
41709057,BREADS BAKERY,MANHATTAN,10003,Bakery,A
40878675,TACO BELL PIZZA HUT EXPRESS,MANHATTAN,10029,Pizza,A
40948362,FRANCHIA,MANHATTAN,10016,Korean,A
41348416,JAYSE CATERING,BROOKLYN,11222,American,
41397330,HORUS TOO,MANHATTAN,10036,Egyptian,A
41135075,FUEL,BROOKLYN,11235,American,A
50068170,ARLINGTON CLUB,MANHATTAN,10021,Other,
41674382,ANGELO BELLINI,MANHATTAN,10022,Italian,B
40734541,J & C SEAFOOD,QUEENS,11412,Seafood,A
41711778,CHICKEN FESTIVAL,QUEENS,11358,Chicken,A
41004067,CHINA SUN,BROOKLYN,11208,Chinese,
40862491,UNITED ARTISTS,QUEENS,11101,American,
50037861,WALLABOUT BAY SEAFOOD RESTAURANT & BAR,BROOKLYN,11205,Seafood,
41626109,ALLSWELL,BROOKLYN,11249,American,
41546980,MALDONADO MEXICAN RESTAURANT,MANHATTAN,10031,Mexican,A
41546986,BEDLAM,MANHATTAN,10009,American,A
41494987,BROOKLYN FARMACY AND SODA FOUNTAIN,BROOKLYN,11231,American,C
50043907,KINGS BAKERY,BROOKLYN,11214,Bakery,A
50048028,TORNADO CREPES,QUEENS,11385,Other,A
40386001,PRIMOLA RESTAURANT,MANHATTAN,10065,Italian,A
41123535,TACO KING,QUEENS,11364,Tex-Mex,
40891446,HOTEL CARLYLE,MANHATTAN,10021,American,B
50048023,MAIN HOUSE BBQ,BROOKLYN,11234,Jewish/Kosher,A
40596549,POLLOS A LA BARASA MARIO,QUEENS,11103,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
50052596,ENLIGHTENMENT WINES,BROOKLYN,11237,American,A
50047621,NALLELI PIZZA & TACOS,BRONX,10455,Pizza,A
50052593,KELLOGG'S NYC,MANHATTAN,10019,Other,A
50047624,YAMI-ICHI,BROOKLYN,11215,Japanese,C
50052591,KAKUREGA JAPANESE CUISINE,QUEENS,11354,Japanese,
40365022,LABETTI'S POST # 2159,STATEN ISLAND,10305,American,A
41149059,DAVID BURKE AT BLOOMINGDALE'S,MANHATTAN,10022,American,
41318874,LUNA PIENA,MANHATTAN,10022,Italian,
40370917,BURGER KING,BROOKLYN,11236,Hamburgers,C
41614411,ASIAM THAI CUISINE,MANHATTAN,10003,Thai,
41590295,RISTORANTE LUNA,MANHATTAN,10013,Italian,
50037289,LA NOSTRA PIZZERIA AND RESTAURANT,QUEENS,11421,Pizza/Italian,
40897493,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,QUEENS,11433,Caribbean,A
50072252,LEGACY RECORDS LOCATED INSIDE HENRY HALL,MANHATTAN,10018,Italian,
50072251,,QUEENS,11385,Other,
50072250,PRONTO PIZZA,QUEENS,11373,Other,
